ID,Name,"ATC Code","Therapeutic Class","Care Category",Synonyms
"cb6d5e6c-aa30-456c-9e92-21948629878e","trimébutine","A03AA05","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, esters avec groupement amine tertiaire","",""
"8b1e1066-014f-4146-9468-c659dbd70b6f","rocivérine","A03AA06","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, esters avec groupement amine tertiaire","",""
"82fd959a-45e2-4001-a9ad-2d5843844da5","dicyclovérine","A03AA07","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, esters avec groupement amine tertiaire","",""
"de006c17-48be-4dd0-92d0-e371ea4e6bc5","dihexyvérine","A03AA08","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, esters avec groupement amine tertiaire","",""
"6756163d-73d7-49cf-9e76-5c3d143c7403","difémérine","A03AA09","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, esters avec groupement amine tertiaire","",""
"b85194be-32af-465d-beae-dcd867ddbdac","pipéridolate","A03AA30","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, esters avec groupement amine tertiaire","",""
"f18580b4-7120-47c5-9f61-5b8e6f2f1e08","benzilone","A03AB01","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, ammoniums quaternaires","",""
"fbf9281a-4e1e-4f5f-b643-2dd252e257ef","glycopyrronium","A03AB02","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, ammoniums quaternaires","",""
"4759e011-4398-40bc-92f3-d53e04b0b6e1","oxyphénonium","A03AB03","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, ammoniums quaternaires","",""
"a1bf2921-c52b-4d11-a4f2-1758f6b53aa3","penthiénate","A03AB04","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, ammoniums quaternaires","",""
"1531a0b6-5765-4de1-b47b-c01fe2240886","propanthéline","A03AB05","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, ammoniums quaternaires","",""
"92a3c5bc-0672-4bd3-a3cb-e67f95b2c1f3","bromure d'otilonium","A03AB06","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, ammoniums quaternaires","",""
"c0c1b512-1c99-407b-835a-bcfdf327f492","méthanthéline","A03AB07","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, ammoniums quaternaires","",""
"7fa050b5-f854-469a-afef-0a2ba8bed4ea","tridihexéthyl","A03AB08","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, ammoniums quaternaires","",""
"87eed927-777e-46ad-b90c-f94ad7cad389","isopropamide","A03AB09","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, ammoniums quaternaires","",""
"d87228d3-901a-431a-b08c-316b4d933bf5","hexocyclium","A03AB10","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, ammoniums quaternaires","",""
"33e21e97-8b6d-4b77-bf7f-6c743a94e5aa","poldine","A03AB11","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, ammoniums quaternaires","",""
