NOM_COMPLET;Nom commercial;DOSAGE;FORME;PRESENTATION;DCI;FABRIQUANT;PPV;PH;PFHT;UNITES_PAR_BOITE
EMISTOP 2 MG / ML BOITE DE 25 AMPOULES DE4 ML SOLUTION INJECTABLE;EMISTOP;2 MG / ML;SOLUTION INJECTABLE;BOITE DE 25 AMPOULES DE4 ML;ONDANSETRON (SOUS FORME DE CHLORHYDRATE D'ONDANSETRON DIHYDRATE);AMANYS PHARMA;SANS PPV;SANS PH;SANS PFHT;25
VYDURA 75 MG BOTE DE 2 LYOPHILISAT ORAL;VYDURA;75 MG;LYOPHILISAT ORAL;BOTE DE 2;SULFATE DE RIMEGEPANT;PFIZER;SANS PPV;SANS PH;SANS PFHT;2
VYDURA 75 MG BOITE DE 8 LYOPHILISAT ORAL;VYDURA;75 MG;LYOPHILISAT ORAL;BOITE DE 8;SULFATE DE RIMEGEPANT;PFIZER;SANS PPV;SANS PH;SANS PFHT;8
SOLUFLEX 0.9% 0.9% POCHE  EN PP DE 250 ML SOLUTION POUR PERFUSION INTRAVEINEUSE;SOLUFLEX 0.9%;0.9%;SOLUTION POUR PERFUSION INTRAVEINEUSE;POCHE  EN PP DE 250 ML;CHLORURE DE SODIUM;SOLUDIA MAGHREB;SANS PPV;SANS PH;SANS PFHT;1
SOLUFLEX 0.9% 0.9% POCHE  EN PP DE 500 ML SOLUTION POUR PERFUSION INTRAVEINEUSE;SOLUFLEX 0.9%;0.9%;SOLUTION POUR PERFUSION INTRAVEINEUSE;POCHE  EN PP DE 500 ML;CHLORURE DE SODIUM;SOLUDIA MAGHREB;SANS PPV;SANS PH;SANS PFHT;1
SOLUFLEX 0.9% 0.9% POCHE  EN PP DE 1000 ML SOLUTION POUR PERFUSION INTRAVEINEUSE;SOLUFLEX 0.9%;0.9%;SOLUTION POUR PERFUSION INTRAVEINEUSE;POCHE  EN PP DE 1000 ML;CHLORURE DE SODIUM;SOLUDIA MAGHREB;SANS PPV;SANS PH;SANS PFHT;1
SOLUFLEX 0.9% 0.9% POCHE  EN PVC DE 250 ML SOLUTION POUR PERFUSION INTRAVEINEUSE;SOLUFLEX 0.9%;0.9%;SOLUTION POUR PERFUSION INTRAVEINEUSE;POCHE  EN PVC DE 250 ML;CHLORURE DE SODIUM;SOLUDIA MAGHREB;SANS PPV;SANS PH;SANS PFHT;1
SOLUFLEX 0.9% 0.9% POCHE  EN PVC DE 500 ML SOLUTION POUR PERFUSION INTRAVEINEUSE;SOLUFLEX 0.9%;0.9%;SOLUTION POUR PERFUSION INTRAVEINEUSE;POCHE  EN PVC DE 500 ML;CHLORURE DE SODIUM;SOLUDIA MAGHREB;SANS PPV;SANS PH;SANS PFHT;1
SOLUFLEX 0.9% 0.9% POCHE  EN PVC DE 1000 ML SOLUTION POUR PERFUSION INTRAVEINEUSE;SOLUFLEX 0.9%;0.9%;SOLUTION POUR PERFUSION INTRAVEINEUSE;POCHE  EN PVC DE 1000 ML;CHLORURE DE SODIUM;SOLUDIA MAGHREB;SANS PPV;SANS PH;SANS PFHT;1
VUZOR 5 MG BOITE DE 10 COMPRIMES PELLICULES;VUZOR;5 MG;COMPRIMES PELLICULES;BOITE DE 10;ROSUVASTATINE ( SOUS FORME DE ROSUVASTATINE CALCIQUE );ISIO LABORATOIRES;SANS PPV;SANS PH;SANS PFHT;10
